"set","n","result","instance","D","runtime"
"GBRL",50,15,"50_ep0.25_0_gilbert_3.in",7,2.2455
"GBRL",50,2,"50_ep0.25_0_gilbert_3.in",8,0.1149
"GBRL",50,1,"50_ep0.25_0_gilbert_3.in",9,0.0386
"GBRL",50,1,"50_ep0.25_0_gilbert_3.in",10,0.0303
"GBRL",50,47,"50_ep0.25_0_gilbert_2.in",1,3.4511
"GBRL",50,43,"50_ep0.25_0_gilbert_2.in",2,1.807
"GBRL",50,40,"50_ep0.25_0_gilbert_2.in",3,1.2351
"GBRL",50,36,"50_ep0.25_0_gilbert_2.in",4,1.0614
"GBRL",50,33,"50_ep0.25_0_gilbert_2.in",5,1.0755
"GBRL",50,28,"50_ep0.25_0_gilbert_2.in",6,1.272
"GBRL",50,23,"50_ep0.25_0_gilbert_2.in",7,1.0493
"GBRL",50,16,"50_ep0.25_0_gilbert_2.in",8,0.714
"GBRL",50,5,"50_ep0.25_0_gilbert_2.in",9,0.2313
"GBRL",50,2,"50_ep0.25_0_gilbert_2.in",10,0.0406
"GBRL",50,45,"50_ep0.15_0_gilbert_7.in",1,1.6221
"GBRL",50,41,"50_ep0.15_0_gilbert_7.in",2,1.4179
"GBRL",50,37,"50_ep0.15_0_gilbert_7.in",3,0.9264
"GBRL",50,32,"50_ep0.15_0_gilbert_7.in",4,0.7953
"GBRL",50,27,"50_ep0.15_0_gilbert_7.in",5,0.753
"GBRL",50,22,"50_ep0.15_0_gilbert_7.in",6,1.1894
