"set","n","result","instance","D","runtime"
"BBGRL",100,77,"100_ep0.1_0_gilbert_5.in",5,58.5674
"BBGRL",100,72,"100_ep0.1_0_gilbert_5.in",6,188.8941
"BBGRL",100,66,"100_ep0.1_0_gilbert_5.in",7,713.0108
"BBGRL",100,56,"100_ep0.1_0_gilbert_5.in",8,461.9663
"BBGRL",100,9,"100_ep0.1_0_gilbert_5.in",9,3.5827
"BBGRL",100,3,"100_ep0.1_0_gilbert_5.in",10,0.2209
"BBGRL",100,90,"100_ep0.05_0_gilbert_1.in",1,508.1625
"BBGRL",100,65,"100_ep0.05_0_gilbert_1.in",2,718.1352
"BBGRL",100,1,"100_ep0.05_0_gilbert_1.in",3,0.1976
"BBGRL",100,1,"100_ep0.05_0_gilbert_1.in",4,0.1841
"BBGRL",100,1,"100_ep0.05_0_gilbert_1.in",5,0.1439
"BBGRL",100,1,"100_ep0.05_0_gilbert_1.in",6,0.1209
"BBGRL",100,1,"100_ep0.05_0_gilbert_1.in",7,0.0975
"BBGRL",100,1,"100_ep0.05_0_gilbert_1.in",8,0.0825
"BBGRL",100,1,"100_ep0.05_0_gilbert_1.in",9,0.0931
"BBGRL",100,1,"100_ep0.05_0_gilbert_1.in",10,0.0664
"BBGRL",100,95,"100_ep0.075_0_gilbert_3.in",1,112.0361
"BBGRL",100,89,"100_ep0.075_0_gilbert_3.in",2,153.6829
"BBGRL",100,83,"100_ep0.075_0_gilbert_3.in",3,222.312
"BBGRL",100,75,"100_ep0.075_0_gilbert_3.in",4,67.0071
"BBGRL",100,65,"100_ep0.075_0_gilbert_3.in",5,73.8082
"BBGRL",100,41,"100_ep0.075_0_gilbert_3.in",6,52.8766
"BBGRL",100,4,"100_ep0.075_0_gilbert_3.in",7,0.2685
"BBGRL",100,3,"100_ep0.075_0_gilbert_3.in",8,0.2005
"BBGRL",100,2,"100_ep0.075_0_gilbert_3.in",9,0.1706
"BBGRL",100,1,"100_ep0.075_0_gilbert_3.in",10,0.0445
"BBGRL",100,92,"100_ep0.05_0_gilbert_3.in",1,120.3267
"BBGRL",100,85,"100_ep0.05_0_gilbert_3.in",2,197.6626
"BBGRL",100,73,"100_ep0.05_0_gilbert_3.in",3,191.6438
"BBGRL",100,49,"100_ep0.05_0_gilbert_3.in",4,211.652
"BBGRL",100,3,"100_ep0.05_0_gilbert_3.in",5,0.3505
"BBGRL",100,2,"100_ep0.05_0_gilbert_3.in",6,0.2055
"BBGRL",100,1,"100_ep0.05_0_gilbert_3.in",7,0.141
"BBGRL",100,1,"100_ep0.05_0_gilbert_3.in",8,0.122
"BBGRL",100,1,"100_ep0.05_0_gilbert_3.in",9,0.1136
"BBGRL",100,1,"100_ep0.05_0_gilbert_3.in",10,0.0925
"BBGRL",100,95,"100_ep0.075_0_gilbert_2.in",1,553.3465
"BBGRL",100,88,"100_ep0.075_0_gilbert_2.in",2,527.709
"BBGRL",100,80,"100_ep0.075_0_gilbert_2.in",3,448.0701
"BBGRL",100,2,"100_ep0.075_0_gilbert_2.in",4,0.5399
"BBGRL",100,1,"100_ep0.075_0_gilbert_2.in",5,0.0981
"BBGRL",100,1,"100_ep0.075_0_gilbert_2.in",6,0.1635
"BBGRL",100,1,"100_ep0.075_0_gilbert_2.in",7,0.1429
"BBGRL",100,1,"100_ep0.075_0_gilbert_2.in",8,0.1231
"BBGRL",100,1,"100_ep0.075_0_gilbert_2.in",9,0.1241
"BBGRL",100,1,"100_ep0.075_0_gilbert_2.in",10,0.0894
"BBGRL",50,47,"50_ep0.2_0_gilbert_2.in",1,2.3932
"BBGRL",50,43,"50_ep0.2_0_gilbert_2.in",2,1.9381
"BBGRL",50,40,"50_ep0.2_0_gilbert_2.in",3,1.2009
"BBGRL",50,36,"50_ep0.2_0_gilbert_2.in",4,0.8741
"BBGRL",50,32,"50_ep0.2_0_gilbert_2.in",5,0.4333
"BBGRL",50,28,"50_ep0.2_0_gilbert_2.in",6,0.5778
"BBGRL",50,25,"50_ep0.2_0_gilbert_2.in",7,0.5599
"BBGRL",50,20,"50_ep0.2_0_gilbert_2.in",8,0.4925
"BBGRL",50,15,"50_ep0.2_0_gilbert_2.in",9,0.2676
"BBGRL",50,10,"50_ep0.2_0_gilbert_2.in",10,0.3802
"BBGRL",50,47,"50_ep0.2_0_gilbert_4.in",1,1.9387
"BBGRL",50,44,"50_ep0.2_0_gilbert_4.in",2,1.9566
"BBGRL",50,40,"50_ep0.2_0_gilbert_4.in",3,1.3954
"BBGRL",50,36,"50_ep0.2_0_gilbert_4.in",4,1.0884
"BBGRL",50,32,"50_ep0.2_0_gilbert_4.in",5,1.1147
"BBGRL",50,28,"50_ep0.2_0_gilbert_4.in",6,1.3421
"BBGRL",50,22,"50_ep0.2_0_gilbert_4.in",7,0.6575
"BBGRL",50,16,"50_ep0.2_0_gilbert_4.in",8,0.6492
"BBGRL",50,6,"50_ep0.2_0_gilbert_4.in",9,0.2947
"BBGRL",50,3,"50_ep0.2_0_gilbert_4.in",10,0.0669
"BBGRL",50,43,"50_ep0.1_0_gilbert_10.in",1,4.242
"BBGRL",50,35,"50_ep0.1_0_gilbert_10.in",2,3.7445
"BBGRL",50,2,"50_ep0.1_0_gilbert_10.in",3,0.2571
"BBGRL",50,1,"50_ep0.1_0_gilbert_10.in",4,0.0268
"BBGRL",50,1,"50_ep0.1_0_gilbert_10.in",5,0.0214
"BBGRL",50,1,"50_ep0.1_0_gilbert_10.in",6,0.0188
"BBGRL",50,1,"50_ep0.1_0_gilbert_10.in",7,0.0212
"BBGRL",50,1,"50_ep0.1_0_gilbert_10.in",8,0.0149
"BBGRL",50,1,"50_ep0.1_0_gilbert_10.in",9,0.0134
"BBGRL",50,1,"50_ep0.1_0_gilbert_10.in",10,0.0104
"BBGRL",50,45,"50_ep0.1_0_gilbert_7.in",1,4.5124
"BBGRL",50,39,"50_ep0.1_0_gilbert_7.in",2,1.912
"BBGRL",50,21,"50_ep0.1_0_gilbert_7.in",3,3.8739
"BBGRL",50,3,"50_ep0.1_0_gilbert_7.in",4,0.0833
"BBGRL",50,2,"50_ep0.1_0_gilbert_7.in",5,0.1245
"BBGRL",50,1,"50_ep0.1_0_gilbert_7.in",6,0.0415
"BBGRL",50,1,"50_ep0.1_0_gilbert_7.in",7,0.0433
"BBGRL",50,1,"50_ep0.1_0_gilbert_7.in",8,0.0334
"BBGRL",50,1,"50_ep0.1_0_gilbert_7.in",9,0.0231
"BBGRL",50,1,"50_ep0.1_0_gilbert_7.in",10,0.019
"BBGRL",50,46,"50_ep0.2_0_gilbert_3.in",1,6.1367
"BBGRL",50,41,"50_ep0.2_0_gilbert_3.in",2,8.4182
"BBGRL",50,36,"50_ep0.2_0_gilbert_3.in",3,6.5327
"BBGRL",50,16,"50_ep0.2_0_gilbert_3.in",4,3.4004
"BBGRL",50,1,"50_ep0.2_0_gilbert_3.in",5,0.0356
"BBGRL",50,1,"50_ep0.2_0_gilbert_3.in",6,0.0332
"BBGRL",50,1,"50_ep0.2_0_gilbert_3.in",7,0.0333
"BBGRL",50,1,"50_ep0.2_0_gilbert_3.in",8,0.0248
"BBGRL",50,1,"50_ep0.2_0_gilbert_3.in",9,0.0331
"BBGRL",50,1,"50_ep0.2_0_gilbert_3.in",10,0.0256
"BBGRL",50,45,"50_ep0.15_0_gilbert_7.in",1,1.4845
"BBGRL",50,41,"50_ep0.15_0_gilbert_7.in",2,1.3848
"BBGRL",50,37,"50_ep0.15_0_gilbert_7.in",3,1.0166
"BBGRL",50,32,"50_ep0.15_0_gilbert_7.in",4,0.786
"BBGRL",50,27,"50_ep0.15_0_gilbert_7.in",5,0.7046
"BBGRL",50,22,"50_ep0.15_0_gilbert_7.in",6,1.2692
"BBGRL",50,15,"50_ep0.15_0_gilbert_7.in",7,0.3279
"BBGRL",50,7,"50_ep0.15_0_gilbert_7.in",8,0.063
"BBGRL",50,4,"50_ep0.15_0_gilbert_7.in",9,0.0391
"BBGRL",50,3,"50_ep0.15_0_gilbert_7.in",10,0.0511
"BBGRL",50,46,"50_ep0.15_0_gilbert_6.in",1,3.477
"BBGRL",50,40,"50_ep0.15_0_gilbert_6.in",2,2.9208
"BBGRL",50,31,"50_ep0.15_0_gilbert_6.in",3,2.0346
"BBGRL",50,3,"50_ep0.15_0_gilbert_6.in",4,0.1214
"BBGRL",50,2,"50_ep0.15_0_gilbert_6.in",5,0.1289
"BBGRL",50,1,"50_ep0.15_0_gilbert_6.in",6,0.041
