"set","n","result","instance","D","runtime","seed"
"GBRL",1000,3,"1000_r0.065_0_geom_2.gin",8,26.7986,1505001092385563136
"GBRL",1000,2,"1000_r0.065_0_geom_2.gin",9,9.3225,1505001121394388992
"GBRL",1000,1,"1000_r0.065_0_geom_2.gin",10,7.0829,1505001132755119104
"GBRL",1000,921,"1000_r0.065_0_geom_10.gin",1,359.1497,1505001141876386304
"GBRL",1000,808,"1000_r0.065_0_geom_10.gin",2,361.419,1505001502846734848
"GBRL",1000,613,"1000_r0.065_0_geom_10.gin",3,359.1218,1505001866144944896
"GBRL",1000,621,"1000_r0.065_0_geom_10.gin",4,359.5113,1505002227308724480
"GBRL",1000,844,"1000_r0.065_0_geom_10.gin",5,362.3386,1505002588742607104
"GBRL",1000,10,"1000_r0.065_0_geom_10.gin",6,87.0001,1505002952859341824
"GBRL",1000,5,"1000_r0.065_0_geom_10.gin",7,78.7549,1505003041904773632
"GBRL",1000,3,"1000_r0.065_0_geom_10.gin",8,54.7693,1505003122451970816
"GBRL",1000,2,"1000_r0.065_0_geom_10.gin",9,10.3826,1505003179268484864
"GBRL",1000,1,"1000_r0.065_0_geom_10.gin",10,7.3923,1505003191527579904
"GBRL",1000,946,"1000_r0.065_0_geom_3.gin",1,361.7912,1505003200751057152
"GBRL",1000,867,"1000_r0.065_0_geom_3.gin",2,359.4574,1505003564391057152
"GBRL",1000,817,"1000_r0.065_0_geom_3.gin",3,359.6807,1505003925899729152
"GBRL",1000,808,"1000_r0.065_0_geom_3.gin",4,362.6255,1505004287407100928
"GBRL",1000,18,"1000_r0.065_0_geom_3.gin",5,80.5829,1505004651829221888
"GBRL",1000,14,"1000_r0.065_0_geom_3.gin",6,82.8425,1505004734230450432
"GBRL",1000,8,"1000_r0.065_0_geom_3.gin",7,78.8542,1505004819307780608
"GBRL",1000,4,"1000_r0.065_0_geom_3.gin",8,63.0736,1505004900273521408
"GBRL",1000,3,"1000_r0.065_0_geom_3.gin",9,38.5883,1505004965385828864
"GBRL",1000,2,"1000_r0.065_0_geom_3.gin",10,10.438,1505005006011502848
"GBRL",1000,868,"1000_r0.058_0_geom_8.gin",1,357.4538,1505005018247374592
"GBRL",1000,265,"1000_r0.058_0_geom_8.gin",2,359.216,1505005377740288512
"GBRL",1000,12,"1000_r0.058_0_geom_8.gin",3,71.6296,1505005738785405440
"GBRL",1000,9,"1000_r0.058_0_geom_8.gin",4,70.7285,1505005812451772416
"GBRL",1000,5,"1000_r0.058_0_geom_8.gin",5,58.9653,1505005885088644864
"GBRL",1000,4,"1000_r0.058_0_geom_8.gin",6,36.514,1505005945843094272
"GBRL",1000,3,"1000_r0.058_0_geom_8.gin",7,16.5318,1505005984227891456
"GBRL",1000,2,"1000_r0.058_0_geom_8.gin",8,9.612,1505006002807917824
"GBRL",1000,1,"1000_r0.058_0_geom_8.gin",9,6.7473,1505006014455303936
"GBRL",1000,1,"1000_r0.058_0_geom_8.gin",10,7.6765,1.505006023273e+18
"GBRL",1000,21,"1000_r0.05_0_geom_9.gin",1,67.4697,1505006032854808576
"GBRL",1000,15,"1000_r0.05_0_geom_9.gin",2,24.2161,1505006102364421632
