"set","n","result","instance","D","runtime","seed"
"BBGRL",1000,968,"1000_ep0.0125_0_gilbert_5.in",6,167.2599,1503708817312186368
"BBGRL",1000,963,"1000_ep0.0125_0_gilbert_5.in",7,170.7755,1503708986362344448
"BBGRL",1000,957,"1000_ep0.0125_0_gilbert_5.in",8,167.39,1503709158935788288
"BBGRL",1000,952,"1000_ep0.0125_0_gilbert_5.in",9,170.0024,1503709328363490304
"BBGRL",1000,3,"1000_ep0.0125_0_gilbert_5.in",10,147.1128,1503709500396118528
"BBGRL",1000,995,"1000_ep0.0125_0_gilbert_9.in",1,47.5472,1503709649397173504
"BBGRL",1000,989,"1000_ep0.0125_0_gilbert_9.in",2,167.3976,1503709699052309504
"BBGRL",1000,984,"1000_ep0.0125_0_gilbert_9.in",3,167.2239,1503709868483147264
"BBGRL",1000,980,"1000_ep0.0125_0_gilbert_9.in",4,167.481,1503710037568016384
"BBGRL",1000,974,"1000_ep0.0125_0_gilbert_9.in",5,167.2585,1503710207098883072
"BBGRL",1000,969,"1000_ep0.0125_0_gilbert_9.in",6,167.5134,1503710376365310464
"BBGRL",1000,962,"1000_ep0.0125_0_gilbert_9.in",7,167.3566,1503710545667871744
"BBGRL",1000,958,"1000_ep0.0125_0_gilbert_9.in",8,167.2081,1503710714926506240
"BBGRL",1000,952,"1000_ep0.0125_0_gilbert_9.in",9,167.2969,1503710883926849280
"BBGRL",1000,946,"1000_ep0.0125_0_gilbert_9.in",10,167.3324,1503711053015988736
"BBGRL",1000,995,"1000_ep0.0125_0_gilbert_2.in",1,60.4473,1503711222303083264
"BBGRL",1000,990,"1000_ep0.0125_0_gilbert_2.in",2,167.2179,1503711284649506560
"BBGRL",1000,984,"1000_ep0.0125_0_gilbert_2.in",3,167.2481,1503711453910868992
"BBGRL",1000,979,"1000_ep0.0125_0_gilbert_2.in",4,167.3509,1503711623401103104
"BBGRL",1000,973,"1000_ep0.0125_0_gilbert_2.in",5,167.3815,1503711792577629440
"BBGRL",1000,968,"1000_ep0.0125_0_gilbert_2.in",6,167.2473,1503711961741940736
"BBGRL",1000,961,"1000_ep0.0125_0_gilbert_2.in",7,167.2554,1503712130989200640
"BBGRL",1000,958,"1000_ep0.0125_0_gilbert_2.in",8,167.2789,1503712300281436160
"BBGRL",1000,950,"1000_ep0.0125_0_gilbert_2.in",9,167.3286,1503712469347546368
"BBGRL",1000,2,"1000_ep0.0125_0_gilbert_2.in",10,51.1495,1503712638468603136
"BBGRL",1000,995,"1000_ep0.0125_0_gilbert_8.in",1,64.1626,1503712691409507584
"BBGRL",1000,989,"1000_ep0.0125_0_gilbert_8.in",2,167.4564,1503712757520032512
"BBGRL",1000,983,"1000_ep0.0125_0_gilbert_8.in",3,167.2317,1503712927010652416
"BBGRL",1000,977,"1000_ep0.0125_0_gilbert_8.in",4,167.5323,1503713096273576704
"BBGRL",1000,971,"1000_ep0.0125_0_gilbert_8.in",5,167.4559,1503713265899290368
"BBGRL",1000,967,"1000_ep0.0125_0_gilbert_8.in",6,167.2081,1503713435392276224
"BBGRL",1000,960,"1000_ep0.0125_0_gilbert_8.in",7,167.293,1503713604520934656
"BBGRL",1000,950,"1000_ep0.0125_0_gilbert_8.in",8,167.419,1503713773888366080
"BBGRL",1000,2,"1000_ep0.0125_0_gilbert_8.in",9,49.7113,1503713943089774592
"BBGRL",1000,1,"1000_ep0.0125_0_gilbert_8.in",10,17.4922,1503713994843797504
"BBGRL",1000,994,"1000_ep0.01_0_gilbert_9.in",1,58.9639,1503714014472451840
"BBGRL",1000,988,"1000_ep0.01_0_gilbert_9.in",2,167.1685,1503714075308803072
"BBGRL",1000,982,"1000_ep0.01_0_gilbert_9.in",3,167.8384,1503714244333356800
"BBGRL",1000,974,"1000_ep0.01_0_gilbert_9.in",4,167.4487,1503714413945094656
"BBGRL",1000,2,"1000_ep0.01_0_gilbert_9.in",5,55.8966,1503714583394845440
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_9.in",6,11.3016,1503714641328248064
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_9.in",7,10.9786,1503714655103116800
